<wordnet_actor_109765278> 	=> actedIn
<wordnet_show_106619065> 	=> actedIn-1
<wordnet_creator_109614315> 	=> created
<wordnet_writer_110794014> 	=> created
<wordnet_creation_103129123> 	=> created-1
<wikicat_Member_states_of_the_Organisation_of_Islamic_Cooperation> 	=> dealsWith
<wordnet_film_director_110088200> 	=> directed
<wordnet_director_110015215> 	=> directed
<wordnet_show_106619065> 	=> directed-1
<wordnet_editor_110044879> 	=> edited
<wordnet_movie_106613686> 	=> edited-1
<wordnet_country_108544813> 	=> exports
exports-1	None
<wordnet_alumnus_109786338> 	=> graduatedFrom
<wordnet_graduate_school_108282696> 	=> graduatedFrom-1
<wordnet_university_108286569> 	=> graduatedFrom-1
<wordnet_event_100029378> 	=> happenedIn
happenedIn-1	None
<wordnet_scholar_110557854> 	=> hasAcademicAdvisor
<wordnet_scientist_110560637> 	=> hasAcademicAdvisor
<wordnet_academician_109759069> 	=> hasAcademicAdvisor-1
<wordnet_country_108544813> 	=> hasCapital
<wikicat_Capitals> 	=> hasCapital-1
<wikicat_Capitals_of_former_nations> 	=> hasCapital-1
<wikicat_Capitals_in_Europe> 	=> hasCapital-1
<wikicat_Capitals_in_Asia> 	=> hasCapital-1
<wikicat_Former_national_capitals> 	=> hasCapital-1
<wordnet_ancestor_109792555> 	=> hasChild
<wordnet_person_100007846> 	=> hasChild-1
<wordnet_country_108544813> 	=> hasCurrency
<wikicat_Currencies_of_Europe> 	=> hasCurrency-1
<wikicat_Currencies_by_country> 	=> hasCurrency-1
<wikicat_Circulating_currencies> 	=> hasCurrency-1
<wikicat_Currencies_of_Asia> 	=> hasCurrency-1
<wikicat_Currencies_of_Africa> 	=> hasCurrency-1
<wordnet_person_100007846> 	=> hasGender
hasGender-1	None
<wordnet_musician_110339966> 	=> hasMusicalRole
hasMusicalRole-1	None
hasNeighbor	None
hasNeighbor-1	None
<wordnet_country_108544813> 	=> hasOfficialLanguage
hasOfficialLanguage-1	None
hasWebsite-1	None
<wordnet_medalist_110304914> 	=> hasWonPrize
<wordnet_laureate_110249011> 	=> hasWonPrize
<wordnet_medalist_110305062> 	=> hasWonPrize
<wordnet_prize_winner_109627807> 	=> hasWonPrize
<wordnet_award_106696483> 	=> hasWonPrize-1
<wordnet_country_108544813> 	=> imports
imports-1	None
<wordnet_politician_110450303> 	=> influences
<wordnet_scientist_110560637> 	=> influences
<wordnet_writer_110794014> 	=> influences
